epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1220.1,0.85298,0.53984,1.04897,0.66847,0.66006,0.65464,0.40104,1.32903,0.83829,1.45837,0.00061203,0.00061203,0.00061203
68,1230.27,0.87136,0.53783,1.07656,0.73383,0.66682,0.68989,0.41358,1.31713,0.83423,1.47652,0.00060753,0.00060753,0.00060753
69,1240.38,0.85839,0.53438,1.0733,0.69359,0.69717,0.68637,0.41246,1.31819,0.83425,1.49169,0.000603031,0.000603031,0.000603031
70,1250.42,0.84966,0.53565,1.04612,0.67114,0.6564,0.67042,0.40454,1.32656,0.90042,1.46382,0.000598531,0.000598531,0.000598531
71,1260.55,0.83962,0.54157,1.06287,0.6753,0.63834,0.6453,0.38267,1.33821,0.92436,1.49508,0.000594031,0.000594031,0.000594031
72,1270.55,0.84119,0.54518,1.05455,0.63443,0.70556,0.65622,0.408,1.30714,0.86998,1.46544,0.000589532,0.000589532,0.000589532
73,1280.68,0.85615,0.54167,1.05802,0.65574,0.65814,0.66361,0.40859,1.32277,0.93836,1.50234,0.000585032,0.000585032,0.000585032
74,1290.83,0.83048,0.51732,1.04042,0.66599,0.66481,0.6715,0.41158,1.3419,0.84018,1.52656,0.000580533,0.000580533,0.000580533
75,1301.01,0.82503,0.52282,1.0595,0.6891,0.67469,0.67306,0.41187,1.30512,0.82787,1.49554,0.000576033,0.000576033,0.000576033
76,1311.05,0.82857,0.5289,1.04738,0.65948,0.64442,0.64309,0.39876,1.34711,0.95396,1.51071,0.000571534,0.000571534,0.000571534
77,1321.06,0.82432,0.53089,1.05517,0.70932,0.64718,0.65733,0.40285,1.30132,0.9097,1.48688,0.000567034,0.000567034,0.000567034
78,1331.22,0.80139,0.51195,1.03165,0.72187,0.64579,0.67152,0.41183,1.2953,0.89812,1.44805,0.000562535,0.000562535,0.000562535
79,1341.32,0.82779,0.52712,1.05402,0.71061,0.64407,0.66832,0.41436,1.27544,0.90739,1.40195,0.000558035,0.000558035,0.000558035
80,1351.4,0.82986,0.51762,1.05224,0.67729,0.64496,0.63835,0.40183,1.26699,0.87849,1.43685,0.000553536,0.000553536,0.000553536
81,1361.55,0.83271,0.53181,1.05676,0.64843,0.67987,0.66908,0.40809,1.29373,0.86079,1.48218,0.000549036,0.000549036,0.000549036
82,1371.63,0.81415,0.50666,1.04731,0.66522,0.65308,0.6431,0.39254,1.30532,0.89255,1.45499,0.000544536,0.000544536,0.000544536
83,1381.67,0.82059,0.50482,1.04068,0.67652,0.66437,0.66728,0.4122,1.30341,0.90412,1.4555,0.000540037,0.000540037,0.000540037
84,1391.77,0.82562,0.5154,1.05532,0.62201,0.67821,0.64196,0.40378,1.30458,1.00795,1.4458,0.000535537,0.000535537,0.000535537
85,1401.81,0.80767,0.48681,1.02908,0.68277,0.62908,0.64826,0.4026,1.3136,1.01292,1.43694,0.000531038,0.000531038,0.000531038
86,1411.82,0.8106,0.49555,1.03568,0.69655,0.65652,0.66947,0.40586,1.29467,0.93827,1.41825,0.000526538,0.000526538,0.000526538
87,1421.99,0.80065,0.48562,1.02285,0.73432,0.66447,0.67489,0.41161,1.32085,0.81982,1.44837,0.000522039,0.000522039,0.000522039
88,1432.05,0.79305,0.49733,1.03095,0.68928,0.69769,0.69107,0.41008,1.3296,0.85336,1.45529,0.000517539,0.000517539,0.000517539
89,1442.15,0.80829,0.48896,1.03302,0.66954,0.69012,0.67143,0.40537,1.31063,0.82616,1.46832,0.00051304,0.00051304,0.00051304
90,1452.45,0.78779,0.49341,1.03806,0.70783,0.68134,0.67643,0.40466,1.32706,0.8052,1.49777,0.00050854,0.00050854,0.00050854
91,1462.85,0.78573,0.48445,1.02407,0.70099,0.70188,0.68482,0.42316,1.31251,0.81301,1.48392,0.00050404,0.00050404,0.00050404
92,1473.2,0.783,0.47534,1.0248,0.71145,0.69433,0.71146,0.43291,1.29543,0.82341,1.46406,0.000499541,0.000499541,0.000499541
93,1483.55,0.80728,0.48741,1.0472,0.69986,0.6672,0.67421,0.4103,1.29422,0.92015,1.46499,0.000495041,0.000495041,0.000495041
94,1493.77,0.78894,0.47854,1.03286,0.66078,0.65459,0.65768,0.40156,1.3281,0.93867,1.48564,0.000490542,0.000490542,0.000490542
95,1503.97,0.78926,0.47044,1.03489,0.66811,0.60781,0.64558,0.39776,1.31919,1.10421,1.46742,0.000486042,0.000486042,0.000486042
